Customer ID,Age,Age_Bucket,Gender,Item Purchased,Category,Purchase Amount (USD),Bucketed Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
25,18,18 - 25,Male,Jacket,Outerwear,22,Low Spend ? 20–39,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,18,18 - 25,Male,Hoodie,Clothing,25,Low Spend ? 20–39,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually
27,38,35 - 44,Male,Jewelry,Accessories,20,Low Spend ? 20–39,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,55 - 70,Male,Shorts,Clothing,56, Medium-Low Spend ? 40–59 ,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Quarterly
29,54,44 - 54,Male,Handbag,Accessories,94,High Spend ? 80–100,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Quarterly
30,31,25 - 34,Male,Dress,Clothing,48, Medium-Low Spend ? 40–59 ,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,55 - 70,Male,Jewelry,Accessories,31,Low Spend ? 20–39,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,25 - 34,Male,Dress,Clothing,79,Medium-High Spend ? 60–79 ,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly
33,36,35 - 44,Male,Jacket,Outerwear,67,Medium-High Spend ? 60–79 ,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually
34,54,44 - 54,Male,Pants,Clothing,38,Low Spend ? 20–39,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,35 - 44,Male,T-shirt,Clothing,91,High Spend ? 80–100,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly
36,54,44 - 54,Male,Blouse,Clothing,33,Low Spend ? 20–39,Massachusetts,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Fortnightly
37,35,35 - 44,Male,T-shirt,Clothing,69,Medium-High Spend ? 60–79 ,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly
38,35,35 - 44,Male,Jeans,Clothing,45, Medium-Low Spend ? 40–59 ,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly
39,29,25 - 34,Male,Dress,Clothing,37,Low Spend ? 20–39,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Quarterly
40,70,55 - 70,Male,Pants,Clothing,60,Medium-High Spend ? 60–79 ,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,55 - 70,Male,Handbag,Accessories,76,Medium-High Spend ? 60–79 ,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,55 - 70,Male,Scarf,Accessories,39,Low Spend ? 20–39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually
43,20,18 - 25,Male,Coat,Outerwear,100,High Spend ? 80–100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually
44,25,18 - 25,Male,Scarf,Accessories,69,Medium-High Spend ? 60–79 ,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly
45,39,35 - 44,Male,Hat,Accessories,53, Medium-Low Spend ? 40–59 ,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
46,50,44 - 54,Male,Socks,Clothing,21,Low Spend ? 20–39,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually
47,57,55 - 70,Male,Shirt,Clothing,43, Medium-Low Spend ? 40–59 ,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,55 - 70,Male,Jewelry,Accessories,54, Medium-Low Spend ? 40–59 ,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,35 - 44,Male,Shirt,Clothing,55, Medium-Low Spend ? 40–59 ,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,55 - 70,Male,Hoodie,Clothing,30,Low Spend ? 20–39,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Fortnightly
51,49,44 - 54,Male,Blouse,Clothing,28,Low Spend ? 20–39,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Fortnightly
52,59,55 - 70,Male,Skirt,Clothing,59, Medium-Low Spend ? 40–59 ,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,35 - 44,Male,T-shirt,Clothing,20,Low Spend ? 20–39,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,25 - 34,Male,Skirt,Clothing,24,Low Spend ? 20–39,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,44 - 54,Male,Coat,Outerwear,94,High Spend ? 80–100,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Fortnightly
56,40,35 - 44,Male,Jacket,Outerwear,28,Low Spend ? 20–39,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,35 - 44,Male,Backpack,Accessories,73,Medium-High Spend ? 60–79 ,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,18 - 25,Male,Coat,Outerwear,64,Medium-High Spend ? 60–79 ,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,55 - 70,Male,Hoodie,Clothing,54, Medium-Low Spend ? 40–59 ,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly
60,63,55 - 70,Male,Belt,Accessories,79,Medium-High Spend ? 60–79 ,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,44 - 54,Male,Sweater,Clothing,37,Low Spend ? 20–39,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,55 - 70,Male,Scarf,Accessories,68,Medium-High Spend ? 60–79 ,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Quarterly
63,30,25 - 34,Male,Sneakers,Footwear,21,Low Spend ? 20–39,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,25 - 34,Male,Sunglasses,Accessories,79,Medium-High Spend ? 60–79 ,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,55 - 70,Male,Boots,Footwear,83,High Spend ? 80–100,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,55 - 70,Male,Backpack,Accessories,36,Low Spend ? 20–39,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Quarterly
67,31,25 - 34,Male,Blouse,Clothing,94,High Spend ? 80–100,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Quarterly
68,45,44 - 54,Male,Coat,Outerwear,33,Low Spend ? 20–39,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,55 - 70,Male,Handbag,Accessories,46, Medium-Low Spend ? 40–59 ,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Quarterly
70,48,44 - 54,Male,Belt,Accessories,70,Medium-High Spend ? 60–79 ,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,18 - 25,Male,Belt,Accessories,29,Low Spend ? 20–39,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Quarterly
72,36,35 - 44,Male,Dress,Clothing,48, Medium-Low Spend ? 40–59 ,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually
73,18,18 - 25,Male,Dress,Clothing,26,Low Spend ? 20–39,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Quarterly
74,48,44 - 54,Male,Pants,Clothing,85,High Spend ? 80–100,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Fortnightly
75,49,44 - 54,Male,Gloves,Accessories,58, Medium-Low Spend ? 40–59 ,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,55 - 70,Male,Scarf,Accessories,85,High Spend ? 80–100,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,44 - 54,Male,Hat,Accessories,43, Medium-Low Spend ? 40–59 ,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly
78,22,18 - 25,Male,Dress,Clothing,53, Medium-Low Spend ? 40–59 ,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,44 - 54,Male,Skirt,Clothing,91,High Spend ? 80–100,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly
80,38,35 - 44,Male,Jacket,Outerwear,96,High Spend ? 80–100,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Quarterly
81,19,18 - 25,Male,Sandals,Footwear,72,Medium-High Spend ? 60–79 ,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Quarterly
82,67,55 - 70,Male,Shoes,Footwear,96,High Spend ? 80–100,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Quarterly
83,19,18 - 25,Male,Pants,Clothing,28,Low Spend ? 20–39,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Quarterly
84,36,35 - 44,Male,Dress,Clothing,40, Medium-Low Spend ? 40–59 ,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly
85,52,44 - 54,Male,Coat,Outerwear,32,Low Spend ? 20–39,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Quarterly
86,53,44 - 54,Male,Sunglasses,Accessories,95,High Spend ? 80–100,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Fortnightly
87,24,18 - 25,Male,Hoodie,Clothing,41, Medium-Low Spend ? 40–59 ,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Fortnightly
88,52,44 - 54,Male,Shoes,Footwear,53, Medium-Low Spend ? 40–59 ,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,25 - 34,Male,T-shirt,Clothing,47, Medium-Low Spend ? 40–59 ,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,44 - 54,Male,Jacket,Outerwear,83,High Spend ? 80–100,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,18 - 25,Male,Hat,Accessories,48, Medium-Low Spend ? 40–59 ,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,35 - 44,Male,Scarf,Accessories,99,High Spend ? 80–100,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Quarterly
93,61,55 - 70,Male,Jacket,Outerwear,87,High Spend ? 80–100,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Quarterly
94,37,35 - 44,Male,Sweater,Clothing,62,Medium-High Spend ? 60–79 ,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,55 - 70,Male,Skirt,Clothing,76,Medium-High Spend ? 60–79 ,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,35 - 44,Male,Sneakers,Footwear,100,High Spend ? 80–100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly
97,32,25 - 34,Male,Gloves,Accessories,73,Medium-High Spend ? 60–79 ,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Quarterly
98,21,18 - 25,Male,Shoes,Footwear,92,High Spend ? 80–100,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,18 - 25,Male,Jeans,Clothing,67,Medium-High Spend ? 60–79 ,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually
100,26,25 - 34,Male,Hoodie,Clothing,40, Medium-Low Spend ? 40–59 ,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,55 - 70,Male,Sunglasses,Accessories,98,High Spend ? 80–100,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,25 - 34,Male,Coat,Outerwear,85,High Spend ? 80–100,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Fortnightly
103,51,44 - 54,Male,Socks,Clothing,67,Medium-High Spend ? 60–79 ,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,44 - 54,Male,Boots,Footwear,89,High Spend ? 80–100,West Virginia,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Fortnightly
105,55,55 - 70,Male,Sunglasses,Accessories,24,Low Spend ? 20–39,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly
106,69,55 - 70,Male,Backpack,Accessories,96,High Spend ? 80–100,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually
107,64,55 - 70,Male,Jacket,Outerwear,35,Low Spend ? 20–39,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,25 - 34,Male,Sneakers,Footwear,67,Medium-High Spend ? 60–79 ,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly
109,70,55 - 70,Male,Socks,Clothing,79,Medium-High Spend ? 60–79 ,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Fortnightly
110,58,55 - 70,Male,T-shirt,Clothing,85,High Spend ? 80–100,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly
111,56,55 - 70,Male,Backpack,Accessories,26,Low Spend ? 20–39,New York,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly
112,26,25 - 34,Male,Belt,Accessories,75,Medium-High Spend ? 60–79 ,Massachusetts,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,35 - 44,Male,Gloves,Accessories,65,Medium-High Spend ? 60–79 ,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Fortnightly
114,44,35 - 44,Male,Hat,Accessories,54, Medium-Low Spend ? 40–59 ,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly
115,70,55 - 70,Male,Coat,Outerwear,95,High Spend ? 80–100,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,44 - 54,Male,Skirt,Clothing,94,High Spend ? 80–100,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Quarterly
117,55,55 - 70,Male,Shoes,Footwear,86,High Spend ? 80–100,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually
118,50,44 - 54,Male,Sandals,Footwear,32,Low Spend ? 20–39,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,44 - 54,Male,Sweater,Clothing,45, Medium-Low Spend ? 40–59 ,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Fortnightly
120,38,35 - 44,Male,Coat,Outerwear,76,Medium-High Spend ? 60–79 ,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,55 - 70,Male,Hat,Accessories,84,High Spend ? 80–100,West Virginia,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually
122,19,18 - 25,Male,Shorts,Clothing,72,Medium-High Spend ? 60–79 ,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,35 - 44,Male,Backpack,Accessories,40, Medium-Low Spend ? 40–59 ,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,55 - 70,Male,Sweater,Clothing,89,High Spend ? 80–100,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,35 - 44,Male,Sweater,Clothing,86,High Spend ? 80–100,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually
126,49,44 - 54,Male,Shorts,Clothing,54, Medium-Low Spend ? 40–59 ,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Quarterly
127,43,35 - 44,Male,Shorts,Clothing,36,Low Spend ? 20–39,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Quarterly
128,24,18 - 25,Male,Sweater,Clothing,89,High Spend ? 80–100,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,18 - 25,Male,Scarf,Accessories,32,Low Spend ? 20–39,California,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,18 - 25,Male,Dress,Clothing,67,Medium-High Spend ? 60–79 ,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,PayPal,Fortnightly
131,44,35 - 44,Male,Scarf,Accessories,39,Low Spend ? 20–39,Kentucky,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,PayPal,Fortnightly
132,28,25 - 34,Male,Skirt,Clothing,29,Low Spend ? 20–39,Maine,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,25 - 34,Male,Backpack,Accessories,58, Medium-Low Spend ? 40–59 ,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,PayPal,Weekly
134,52,44 - 54,Male,Sweater,Clothing,65,Medium-High Spend ? 60–79 ,Montana,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,Venmo,Annually
135,43,35 - 44,Male,Hat,Accessories,94,High Spend ? 80–100,Texas,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,35 - 44,Male,Sandals,Footwear,81,High Spend ? 80–100,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,PayPal,Quarterly
137,39,35 - 44,Male,Blouse,Clothing,86,High Spend ? 80–100,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,55 - 70,Male,Sneakers,Footwear,43, Medium-Low Spend ? 40–59 ,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,PayPal,Weekly
139,68,55 - 70,Male,Skirt,Clothing,29,Low Spend ? 20–39,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Bank Transfer,Weekly
140,49,44 - 54,Male,Coat,Outerwear,95,High Spend ? 80–100,Florida,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,Venmo,Annually
141,63,55 - 70,Male,Shirt,Clothing,28,Low Spend ? 20–39,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,55 - 70,Male,Gloves,Accessories,46, Medium-Low Spend ? 40–59 ,Virginia,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly
143,37,35 - 44,Male,Jacket,Outerwear,58, Medium-Low Spend ? 40–59 ,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,25 - 34,Male,Coat,Outerwear,48, Medium-Low Spend ? 40–59 ,Missouri,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,PayPal,Quarterly
145,19,18 - 25,Male,Shoes,Footwear,43, Medium-Low Spend ? 40–59 ,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,18 - 25,Male,Jewelry,Accessories,95,High Spend ? 80–100,Missouri,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,44 - 54,Male,Skirt,Clothing,30,Low Spend ? 20–39,Colorado,S,Black,Fall,4,Yes,Standard,Yes,Yes,21,Venmo,Fortnightly
148,63,55 - 70,Male,Shoes,Footwear,64,Medium-High Spend ? 60–79 ,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Bank Transfer,Fortnightly
149,37,35 - 44,Male,Gloves,Accessories,90,High Spend ? 80–100,Wyoming,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,35 - 44,Male,Pants,Clothing,76,Medium-High Spend ? 60–79 ,Delaware,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,PayPal,Monthly
151,35,35 - 44,Male,Boots,Footwear,96,High Spend ? 80–100,California,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Quarterly
152,28,25 - 34,Male,Sunglasses,Accessories,47, Medium-Low Spend ? 40–59 ,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,Venmo,Annually
